Year  WMGHGs    O3    StrH2O ReflAer   AIE      BC   SnowAlb  StrAer  Solar  LandUse
1880  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
1881  0.0141  0.0007  0.0001 -0.0046 -0.0063  0.0032  0.0012  0.0090  0.0208 -0.0008
1882  0.0282  0.0013  0.0003 -0.0093 -0.0126  0.0064  0.0025  0.0230  0.0259 -0.0017
1883  0.0403  0.0020  0.0004 -0.0139 -0.0189  0.0096  0.0037 -1.0880  0.0322 -0.0025
1884  0.0503  0.0027  0.0005 -0.0186 -0.0252  0.0128  0.0050 -3.3320  0.0126 -0.0032
1885  0.0595  0.0033  0.0006 -0.0232 -0.0315  0.0160  0.0062 -1.4690 -0.0108 -0.0041
1886  0.0715  0.0040  0.0007 -0.0279 -0.0378  0.0192  0.0075 -0.8270 -0.0434 -0.0049
1887  0.0776  0.0047  0.0009 -0.0325 -0.0441  0.0224  0.0088 -0.8530 -0.0565 -0.0058
1888  0.0811  0.0053  0.0010 -0.0371 -0.0504  0.0256  0.0099 -0.4890 -0.0648 -0.0066
1889  0.0849  0.0060  0.0011 -0.0418 -0.0567  0.0288  0.0112 -0.6440 -0.0681 -0.0074
1890  0.0908  0.0067  0.0013 -0.0464 -0.0630  0.0320  0.0125 -0.8930 -0.0594 -0.0083
1891  0.0966  0.0073  0.0014 -0.0511 -0.0693  0.0352  0.0138 -0.6860 -0.0183 -0.0090
1892  0.1034  0.0080  0.0016 -0.0557 -0.0756  0.0384  0.0149 -0.4790 -0.0006 -0.0097
1893  0.1033  0.0087  0.0017 -0.0604 -0.0819  0.0416  0.0162 -0.1950  0.0241 -0.0105
1894  0.1067  0.0093  0.0019 -0.0650 -0.0882  0.0448  0.0175 -0.0540  0.0424 -0.0112
1895  0.1086  0.0100  0.0020 -0.0697 -0.0945  0.0480  0.0187 -0.0070  0.0260 -0.0118
1896  0.1129  0.0107  0.0022 -0.0743 -0.1008  0.0512  0.0200 -0.4040 -0.0026 -0.0126
1897  0.1147  0.0113  0.0023 -0.0790 -0.1071  0.0544  0.0212 -0.3690 -0.0291 -0.0133
1898  0.1165  0.0120  0.0024 -0.0836 -0.1134  0.0576  0.0225 -0.2560 -0.0367 -0.0140
1899  0.1267  0.0127  0.0026 -0.0882 -0.1197  0.0608  0.0237 -0.0800 -0.0463 -0.0148
1900  0.1366  0.0133  0.0028 -0.0929 -0.1260  0.0640  0.0250 -0.0140 -0.0503 -0.0155
1901  0.1500  0.0140  0.0030 -0.0979 -0.1311  0.0660  0.0257  0.0050 -0.0564 -0.0164
1902  0.1613  0.0147  0.0033 -0.1030 -0.1362  0.0679  0.0265 -0.4490 -0.0467 -0.0174
1903  0.1726  0.0154  0.0036 -0.1080 -0.1412  0.0699  0.0271 -1.6540 -0.0083 -0.0183
1904  0.1867  0.0160  0.0039 -0.1130 -0.1463  0.0719  0.0279 -0.7210  0.0372 -0.0194
1905  0.1999  0.0167  0.0042 -0.1181 -0.1514  0.0738  0.0286 -0.2700  0.0091 -0.0203
1906  0.2118  0.0173  0.0045 -0.1231 -0.1565  0.0758  0.0294 -0.1430  0.0402 -0.0212
1907  0.2231  0.0180  0.0048 -0.1282 -0.1616  0.0777  0.0301 -0.1900  0.0172 -0.0222
1908  0.2373  0.0187  0.0051 -0.1332 -0.1666  0.0797  0.0308 -0.2140  0.0214 -0.0232
